"year","month","west"
1968.0,1.0,17.0
1968.0,2.0,18.6
1968.0,3.0,17.4
1968.0,4.0,20.6
1968.0,5.0,20.0
1968.0,6.0,23.2
1968.0,7.0,21.2
1968.0,8.0,23.1
1968.0,9.0,22.0
1968.0,10.0,23.0
1968.0,11.0,18.4
1968.0,12.0,21.6
1969.0,1.0,19.7
1969.0,2.0,23.0
1969.0,3.0,21.1
1969.0,4.0,20.9
1969.0,5.0,22.8
1969.0,6.0,23.5
1969.0,7.0,25.4
1969.0,8.0,22.3
1969.0,9.0,24.5
1969.0,10.0,28.4
1969.0,11.0,26.4
1969.0,12.0,23.4
1970.0,1.0,25.2
1970.0,2.0,24.5
1970.0,3.0,25.0
1970.0,4.0,24.4
1970.0,5.0,22.9
1970.0,6.0,25.8
1970.0,7.0,28.5
1970.0,8.0,28.8
1970.0,9.0,31.2
1970.0,10.0,25.7
1970.0,11.0,25.7
1970.0,12.0,27.8
1971.0,1.0,22.3
1971.0,2.0,24.1
1971.0,3.0,28.8
1971.0,4.0,32.3
1971.0,5.0,30.3
1971.0,6.0,30.8
1971.0,7.0,36.7
1971.0,8.0,43.1
1971.0,9.0,38.2
1971.0,10.0,43.5
1971.0,11.0,34.2
1971.0,12.0,40.9
1972.0,1.0,32.8
1972.0,2.0,35.8
1972.0,3.0,34.1
1972.0,4.0,34.6
1972.0,5.0,39.4
1972.0,6.0,41.1
1972.0,7.0,34.9
1972.0,8.0,42.9
1972.0,9.0,46.0
1972.0,10.0,43.6
1972.0,11.0,36.6
1972.0,12.0,40.6
1973.0,1.0,33.7
1973.0,2.0,34.6
1973.0,3.0,42.9
1973.0,4.0,36.2
1973.0,5.0,39.5
1973.0,6.0,40.1
1973.0,7.0,39.5
1973.0,8.0,35.9
1973.0,9.0,44.8
1973.0,10.0,40.0
1973.0,11.0,33.6
1973.0,12.0,37.7
1974.0,1.0,28.7
1974.0,2.0,28.7
1974.0,3.0,26.7
1974.0,4.0,26.5
1974.0,5.0,31.7
1974.0,6.0,31.3
1974.0,7.0,28.1
1974.0,8.0,32.9
1974.0,9.0,32.5
1974.0,10.0,30.0
1974.0,11.0,31.5
1974.0,12.0,34.7
1975.0,1.0,21.7
1975.0,2.0,21.1
1975.0,3.0,20.0
1975.0,4.0,19.8
1975.0,5.0,21.5
1975.0,6.0,21.7
1975.0,7.0,22.0
1975.0,8.0,28.6
1975.0,9.0,26.8
1975.0,10.0,26.8
1975.0,11.0,29.5
1975.0,12.0,27.3
1976.0,1.0,22.4
1976.0,2.0,22.0
1976.0,3.0,23.4
1976.0,4.0,25.6
